Comentario,Nota,sentimento
Just immaculate.,5.0,positivo
"Sommer-Projekt 2021 #13 - Exotica - Ausgewählt von Yaron
Exotica ist schwierig zu beschreiben, hat aber etwas ganz besonders an sich. Die Atmosphäre und die hypnotisierenden Schauplätze sind es, was hängen bleibt, denn abgesehen davon macht er es dem Zuschauer nicht leicht. Das muss er auch nicht, man muss es zuallererst eben fühlen. Nicht jeder Film ist auf dem ersten Blick vollständig zu verstehen und dies ist eben auch bei Exotica der Fall.
Der Versuch ihn daher auseinanderzunehmen ist überflüssig. Manche Filme dürfen ihre Mystik und dieses Vernebelte auch einfach behalten und man sollte sich einfach selbst ein Bild davon machen.",4.0,positivo
say what again,4.0,positivo
"boulevard depo, dead dynasty, everybody knows the good guys lost/ Диджей ОЧЕНЬ СИЛЬНО напоминает Де Ниро (чекните его на армянский херитедж) в ажитированной фазе, Кристина напоминает сразу солистку группы Винтаж, Ану де Армас и Катю Сукину, вайбы того, не знаю, чего (немного collateral, немного strange days 1995, немного king of toronto, немного Thief, немножко vtmb и marathone masculin), присутствуют мама Шаламе из Momomonogatari и девочка из eXistenZ, пила пиво, курила, блудила, сквернословила. Знаете, когда мужчина приглашает мужчину на оперу и／или выпить, один другого непременно выебебет (сказала ведьма-яойщица). Душный в хорошем смысле таки неонуар. Утром поставлю оценку, если никуда не буду опаздывать.",4.0,positivo
go jenny schecter !,4.0,positivo
"شگفت انگیزه. فیلم از همون ابتدا و با ساختاری که شروع میشه، نوید این رو میده که با یک داستان چند وجهی با یک نقطه اشتراکی به نام اگزوتیکا طرف هستیم. اگزوتیکا فراتر از یک مکان، به محلی تبدیل میشه برای هویت، شهوت، حسرت و خاطرات
همچنان که فیلم یه تجربه حسی فوق العادست، پازل ها و معماهای هر شخصیت رو در طول فیلم و با دیالوگ‌ها و حتی نگاه‌ها باز میکنه. معمولا تو مواردی که تمرکزشون صرفا روی ساخت اتمسفر و فضای مالیخولیایی میگرده، خیلی از موارد داستانی ندید گرفته میشه اما اینجا حداقل در مورد شخصیت های اصلی با عکس این مورد مواجه هستیم. اضافه بشه به لیست فیلم هایی که نباید در روز به سراغشون رفت
Everybody knows that's how it goes",4.0,positivo
"""kendine sorman lazım: bu insanı buraya ne getirdi?""
kan dondurucu bir başyapıt. filmin açılış sahnesi aslında tüm filmin yapısını ele veriyor bir şekilde: tek yönlü bir ayna. yolun her adımında izleyicilerden gerekli bilgileri alıkoyan bir bulmaca bu ve her şeyi gözlerimizin önüne adım adım serilirken gerçeğin tüm tahminlerimizden çok daha ağır ve huzursuz edici olduğunun anlaşıldığı o anlar kadar vurucu hiçbir şey yok. geçmiş hakkında bir film exotica ancak bir yolculuk değil, birbirinden travmatik ve yaralı karakterlerin yine kendilerine çıktıkları bir çember. her köşesinde bir detay saklı olmasına rağmen asla tam cevabı vermeyen ama yalnızca örtüyü usulca kaldıran bir tuzak. bu gizemi çözme işi büyük oranda izleyicilerin üzerine düştüğünde, karakterlerin tahmin dahi edilemez acılarının etkisi de doğal olarak tüm betimlemelerin ötesinde oluyor. göz yaşartan oyunculuklar, atmosferi arşa çıkaran müzikler ve kusursuz yönetmenliği bir kenara, geçmişi bırakamadığı gibi geçmişin de kendilerini bırakmadığı bu karakterlerin acılarını olabilecek en gerçekçi, en acımasız, en ustalıklı biçimde birbiriyle kesiştiren hikayenin önümüze serilişinin etkisi exotica'yı olduğu başyapıt konumuna getiren şey zaten. bu bulanık, sürreal ve erotik gerilimin zirve yaptığı atmosfere balyoz gibi inen gerçeklerin tüm o rüyamsı atmosferi dağıttığı o anlar gerçekten sinemanın ulaşabileceği maksimum duygusal etki falan olsa gerek. başka bir incelemecinin kusursuzca ifade ettiği gibi: ağlayarak uyandığın bir rüya. hele o son kare... hassiktir gerçekten.
deminden beri gevelememin de ele verebileceği üzere, böylesine vurucu bir eser hakkında görüşlerimi toparlamam imkansız şu an. izleyeli iki gün oluyor ve film hala beynimin içinde oynuyor. egoyan'dan ilk filmimdi ama insanlık durumunu böylesine sert ve unutulmaz şekilde aktarabilen bir isim ise sonuncusu olmayacağı kesin.
exotica, kusursuz. denecek başka bir şey yok. yeniden de izleyeceğim en yakın zamanda. o zamana kadar ise teşekkürler atom egoyan. neden bilmiyorum ama böyle bir filme ihtiyacım varmış, onu hissettim.
hayatımda izlediğim en iyi filmlerden biri.",5.0,positivo
Exotica es un trance del que no quiero salir.,5.0,positivo
Fuckin all-timer,5.0,positivo
"Einer der atmosphärischten Filme, die ich je gesehen habe. Zurecht ein Klassiker. Unfassbar düster und mysteriös fesselnd. Und ein offenes Ende, das einen sprachlos zurücklässt und gleichzeitig die Düsterheit ins Unermessliche steigen lässt.",4.5,positivo
NO TOUCHING! NO TOUCHING!,4.0,positivo
"Me niego a que todo sea tan fácil y quiero creer que mucho se me escapa, pero seguramente solo son excusas para volver y sumergir mis sentidos en esa erógena, inmersiva e hipnótica pecera de aguas turbias que es Exotica.
That's how it goes
Everybody knows",4.5,positivo
"فراغ من الحزن والأسى ، جروح الماضي أعمق من أن تلتئم ، تلك الجروح اللتي تُبقي المرء مستيقظًا طوال الليل تومض أمام عينه ذكرياته حزن على حطام الحياة في متاهة من الشهوة مع إحداهما ..
التشبث بوهم الحياة الطبيعية من خلال الآخرين ، الوجود الخانق للندم المتواصل والإنكار والشوق والعذاب نتيجة اختيار القدر له على هشاشة حياة البشر والعائلات على حد سواء.
لا تزال إمكانية الحب والدفء موجودة في هذا الجحيم الشخصي على الرغم من العديد من الامور المدمرة",4.5,positivo
Haunting,4.0,positivo
Cronenberg vibes. Trauma horror sex secrets colors exotica!!!!!,4.0,positivo
"“What is it that gives a schoolgirl her special innocence?”
Este es uno de esos casos en los que si uno no lee la sinopsis de la película, podría perderse en medio del camino. Muy aparte de eso, la historia se toma su tiempo para meternos de lleno a la acción principal.
Me gustó la fotografía, la música y la ambientación lograda en general, que van acorde a lo que exigía la película. Y la dirección de Atom Egoyan no se queda atrás. Tendré que añadir su filmografía a mi radar. 
Creo que el final paga el precio de la entrada. Estoy seguro que en una futura visita, y ya teniendo una noción más clara de todos los personajes, podría dejarme mucho más de lo que me ha dejado ahora.
P. D. La escena de los créditos iniciales es una belleza.",0.0,
"من الصعب تلخيص حبكة فيلم إكزوتيكا (1994) للمخرج الكندي من أصل مصري، آتوم إجويان، دون أن تبدو فوضى عارمة من الشخصيات والثيمات، أو شبكة معقدة على نحوٍ مبالغ فيه من الشخوص والعلاقات، فهي تدور حول محصّل الضرائب المكتئب فرانسيس الّذي يرتاد كل ليلة ناديًا ليليًا يدعى إكزوتيكا ليزور راقصته المفضّلة كريستينا، الفتاة الّتي تؤدي عرض إغراء راقص في هيئة طالبة مدرسة ثانوية، نعرف أنّها كانت في علاقة مع المقدّم الصوتي للنادي إريك والّذي لا يزال يشعر بالغيرة نحوها، ولكنّه في علاقة من نوعٍ ما مع مالكة النادي زوي، والّتي بدورها أيضًا في علاقة من نوعٍ ما مع كريستينا نفسها. يقتحم فرانسيس فيما بعد حياة توماس، مالك محل حيوانات أليفة يمارس عمليات تهريب لبيض ببغاوات نادرة، ويقضي ليله في البحث عن عشيق في مسرح الأوبرا.
كما يبدو هي شبكة معقّدة تسير في اتجاهات عدّة، كما أنّها «غريبة»، وتبرز تلك الغرابة إذا وضعنا شخصيات إكزوتيكا جنبًا إلى جنب مع بقية شخصيات أفلام المخرج الكندي آتوم إجويان الأخرى، فهي بين مقيّم أضرار في شركة تأمين، وعضوة في هيئة رقابة سينمائية (الضابط The Adjuster 1991) وممثل صامت (الأجزاء المتكلمة Speaking Parts 1989) ومصوّر كنائس (رُزنامة Calendar 1993).
إنها شخصيات غريبة على نحو أننا لا نلقاها كل يوم، فهي تنزوي في أركان غير مألوفة، وهي محددة بشكلٍ موغل في التفاصيل، غير أن هذا لا يعني أنها تحتوي في ذاتها على عنصر الخطر أو الإزعاج أو الرعب، وإنما هي فقط «غريبة».
تابع بقية المقال هنا.",5.0,positivo
no one exists,0.0,
Owwwww my daddy issues,4.5,positivo
Évidemment que le cinéma indépendant canadien a peaké quelque part au milieu des années 1990 avec une scène de striptease sur du Leonard Cohen.,4.5,positivo
"O filme que ""Magnólia"" queria ser.",4.0,positivo
"we’re here to entertain, not to heal. there are other places for that.
eu evito ler sinopse, review e ver trailer da maioria das coisas que assisto porque acho que um filme bom é aquele que não precisa de contexto extra pra expressar suas ideias e ter uma narrativa compreensível. comecei esse achando que ia ser um irmão mais velho de Crash — afinal tinha sexo, canadá e elias koteas — e foi bem gratificante ver que eu não poderia estar mais errado. cria uma atmosfera muito cativante que conseguiu me puxar pra dentro desse universo. muito bom!",0.0,
"Canadians are built different, i tells ya",4.5,positivo
"Ritratto della solitudine. I protagonisti di ""Exotica"" sono tormentati, afflitti, alle prese con un attaccamento alla carne e alla sessualità che viene fuori man mano che questi ultimi intrecciano le proprie storie. Ne viene fuori un mosaico che punta decisamente di più sul ""guardare e non toccare"", sull'esplorazione dell'animo umano e delle sue pulsioni, sul sesso inteso come una pura e semplice simulazione, configurato come un vero e proprio giallo di cui però alla fine non importa granché, in quanto ciò che davvero interessa ad Egoyan è l'indagine psicologica delle vite di tutti i protagonisti, con l'ossessione voyeuristica che viene fuori come una specie di pulsione nascosta per via dello stato psicologicamente incerto e tormentato dei protagonisti.
Ed è così che Egoyan sceglie di inquadrare il tutto in modo ciclico, con una regia che punta sia al fascino dell'immagine stessa (con tantissimi totali) che alla penetrazione delle psicologie dei personaggi tramite primi piani e tramite una composizione assolutamente elegante e dal fascino invidiabile, tale da ricordare addirittura Lynch per l'uso delle atmosfere e di un certo tipo di onirismo che dà decisamente una marcia in più al film.",4.0,positivo
"احساس تعلیقی کشنده... تلوتلوخوردنِ دائم از حس‌وحالی لینچی تا ظرافت و بی‌غشی‌ای کوبریکی در رقص حزن‌آلود کلوبی شبانه... جایی در تورنتو.
عجب ظرافت‌بیان و سِحری دارد ""اگزوتیکا"" در روایت! ساعت‌هاست که تمام شده اما نشسته‌ام به چیدن تکه‌های روابط نامعلوم، شکستنی و لرزانش! شهوت، عشق، فقدان، دلسوزی، درد و لطافتی مخفی، تنیده در هم! نمی‌توانم مرزها را بیابم! صحنه‌هایی دیدم که گویی یک‌راست از بهشت فرود آمده بود و مرا در درون خود می‌بلعید!
اگزوتیکا نه تکه جایی برای سرگرمی، که منزلگاهی بود برای فرار، برای ارتباط، برای علاج!",4.5,positivo
"Before Grindr, we had begging for opera tickets",4.0,positivo
"После первого просмотра, меня не покидало чувство необходимости вернуть к этому снова. В этом фильме Атом Эгоян представляет группу разрозненных персонажей, чьи жизни взаимосвязаны через ночной клуб. Экзотика идеальный баланс между загадочным сюжетом настроения и необычным представлением героев, как тайна, которую полностью не разгадать. Идеальный синтез всех элементов, создающий глубокую медитацию горя, включая особый меланхолический эротизм, который заставит вернуться снова.",5.0,positivo
"منذُ بداية الفيلم ستشعُر باجواء غريبة اشبه بغرابة الأحلام وغموضها عندما لاتحس بنفسك الا وانت في نصف الحُلم بدون ان تعرف مالذي يجري معك او اين انت او مالذي يحدث في العالم الذي انت فيه .. اجواء الرقص والموسيقى الشرقية في نادي إيكسوتيكا تزيد من الغرابة ايضاً , الغموض الدائر حول افعال الشخصيات وتناقضاتها ساهم في غرابة الفيلم وتشويقه .. و على خلاف الأحلام التي تستيقظ منها قبل ان تعرف مغزى الحُلم ونهايته فـ في هذا الفيلم سترتبط الخطوط وتتشكل بطريقة جميلة لتكون لك نهاية رائعة ومفهومة .",4.5,positivo
I AM-,5.0,positivo
Η Christina χορεύει με το Everybody Knows του Cohen και κάπως έτσι αποφάσισα να ανοίξω λογαριασμό στο letterboxd.,4.0,positivo
music goes hard,4.5,positivo
"Ich kann durchaus verstehen wieso viele diesen Film mögen, es herrscht eine einzigartige Atmosphäre und auf emotionaler Ebene hat der Film auch viel zu bieten. Für mich hat das ganz einfach nicht funktioniert, ich war nach den ersten 50 Minuten kurz davor den Film komplett auszumachen. Ich weiß nicht warum aber ich habe die Story absolut null gefühlt und fand den Film deswegen auch sehr langweilig. Der letzte Akt ist auf jeden Fall der stärkste aber wirklich viel retten kann das dann auch nicht. 
Vielleicht einfach nicht mein Vibe, keine Ahnung. Aus solch einem sensiblen Thema einen Erotic-Thriller zu machen hat wohl nicht so ganz gut geklappt bei mir.",2.0,negativo
"Vu au cinéma public dans le cadre de la journée du cinéma canadien.
On aurait dit une version douce d'un très bon Cronenberg, tellement le film transpire la perversion et la tension sexuelle.",4.0,positivo
"Cronenberg, Egoyan e Arcand os três mosquiteiros do cinema canadense, monstros supremos.",5.0,positivo
"#Exotica 🇨🇦 1994
رجل يعاني من العصاب يتردد على نادي إكزوتيكا في محاولة للعثور على مايغطي فراغ قلبة الذي سلب.
🚩عشق الرجل الاول.
هو ذلك الثمين اذا دخل القلب هيمن علية حتى صار قلبا ، و اذا فقدتة سوف تصبح متعلق و مهووس و مريض به ، فالحزن سوف يخيم على كيانك و تتعلق بكل شيء يذكرك بذلك العشق ، لعلى وعسى ان يعيد لك روحك التي خرجت
فيلم معقد كعقد شخصياتة و قصصها التي جعل من الفيلم غرابة مميزة في طرحة و موسيقى لطيفة جدا
8.5/10",4.0,positivo
Petstore tax fraud,4.5,positivo
egoatyan,5.0,positivo
Wow,5.0,positivo
"Pocas pero reconfortantes son las veces en que una pieza toca fibras internas en formas e instancias como solamente el cine puede, y pocas son las veces en que estas se valen de los recursos más puros del medio para lograrlo.
Una obra que, magnética y hechizante en su primer contacto, merodea la cabeza mucho después que descienden los créditos finales, y se siente incluso más vívida en la memoria a medida que transcurren las horas. Y que, como todas las grandes obras, transgrede su medio y se solidifica como una experiencia tan inmaterial e intangible, como subjetiva y personal.
Exotica basa su historia en una narrativa principal - las visitas de un hombre de familia atormentado por demonios internos y tragedias de su pasado a un club nocturno, intentando reconfortar su dolor en la imagen de la bailarina estrella del lugar. Narrativa que se ramifica en hilos derivados y confluyentes en la misma, que como un embriagante y cinemático telar hilvanado puntada a puntada, momento a momento, van tejiendo su carismática y envolvente historia.
Los diálogos se desenvuelven, enredan y deshacen de forma natural y genuina. Tanto los personajes como el elenco y sus performances son cautivantes y estremecedores. La cinematografía y edición cumplen un rol protagónico en su sutileza, guiando y construyendo el film, pero jamás siendo abrasivos en su ejecución. El trabajo de cámara, iluminación, encuadre y composición tienen como único objetivo resaltar lo más profundo de los protagonistas y su naturaleza, con un aura casi onírica, seductora y simplemente fascinante. En su apartado técnico, el film de Atom Egoyan tiene pocos puntos negativos que valgan la pena mencionar en comparación al todo que conforma.
Estilísticamente, con fluidez y homogeneidad, el film es francamente impactante - en el más literal sentido de la palabra. Su paleta de colores, la edificación estructural de su historia, el entrecruzamiento de líneas narrativas, y el acompañamiento de una banda sonora con elección de canciones que encajan a la perfección con la tonalidad buscada, no solamente otorgan un sesgo artístico notable, sino también asombran en su reminiscencia por trancos a los mejores Paul Thomas Anderson de Magnolia y Wong Kar-wai de Fallen Angels, con pinceladas de Malick y hasta del primer Tarantino.
Pero más importante aún, y más allá de sus gestos técnicos, su belleza y sensibilidad de profundo alcance se instalan como sin pedir permiso en ese espacio interno al que contadas obras tienen llegada, y ubican al film de Egoyan en un cómodo lugar junto a las entradas mas maravillosas que pude apreciar en los últimos tiempos.",5.0,positivo
Elias Koteas lookin like Kenny G,4.5,positivo
في بداية الفيلم كنت مشوش وماكنت فاهم اي شي الى ان وصلت الا الربع الاخير من الفيلم واكتملت الصوره الاجمل والابهر,5.0,positivo
Ο Egoyan έχει κάνει αυτό το ΑΡΙΣΤΟΥΡΓΗΜΑ και εγω τον έμαθα από το Chloe. LOL.,5.0,positivo
Es exotica,4.0,positivo
Everybody Knows,4.0,positivo
"Tercera parte de la retrospectiva dedicada a Atom Egoyan en el cineclub del Helios de Palomar. Al fin una que me gustó. Seguramente tuvo que ver con haber pasado por otras dos del director que me parecieron infumables (Ararat y The Sweet Hereafter). Eso me aclimató a su tono denso de melodrama, que acá también está. Los travelings, la paleta de colores, los personajes misteriosos y pesados, a punto siempre de quebrarse, los flashbacks. Pero acá estuve de acuerdo con todo: la trama me interesó, los personajes me parecieron creíbles, y no una máscara triste sin nada detrás, la dosificación de la información no era un despelote.
De las otras había dicho que uno de los problemas era que Egoyan siempre intenta meter una docena de personajes con sus subtramas individuales, y que no los sabe manejar: hacia el final no te importa ninguna. Bueno, acá está todo muy bien pero porque desde el primer momento, decidimos que la historia del feo que contrabandea huevos no nos importa. Esa es claramente la historia supernumeraria, menor, que vamos a tolerar y concentrarnos en las otras... pues bien, QUÉ PASÓ CON LOS HUEVOS AL FINAL? Ni a Egoyan le importa, el contrabandista los pierde (se los afanan) a la mitad de la película y no los vuelve a nombrar. Pero esa historia era necesaria para que el fachero tuviera con qué chantajearlo. Y está bien: Egoyan, aprendé a soltar",4.0,positivo
מה,5.0,positivo
"Olyan volt ez a film, mint egy lassú tűzön főzött húsleves, gyömbérrel, kurkumával meg sáfránnyal fűszerezve. Az elején úgy éreztem, hogy fárasztó manírkodás lesz, aztán a felénél már kezdett elvarázsolni, a végére meg minden íz összeállt: ritkán van ilyen, hogy egy filmnek az izgalmi görbéje egyenletesen felfelé íveljen.
Nem tudom, hogy van-e még egy kortárs filmrendező, aki ennyire a szőnyeg alá lenne kotorva, mint Atom Egoyan: a harmincas éveiben ő volt a tengerentúli művészfilm csúcsa, Cannes-ban ünnepelt és szarrá elemzett fesztiválsztár (nálunk is volt róla egy komplett Metropolis szám, amikor a csávó még mindig csak 38 volt), mostanra meg mintha teljesen el lenne felejtve, annak ellenére, hogy kétévente csinál valamit. A Where the Truth Lies óta nem láttam tőle semmit, az viszont, annak ellenére, hogy felejthető film, mégis emlékezetes moziélmény volt: az Uránia dísztermében volt a premier, a filmet meg elkísérte a rendező, illetve Colin Firth, aki épp a Bridget Jones-elmebaj csúcsán volt, és a terem emiatt majd szétrobbant a hisztérikusan lihegő negyvenes nőktől, én meg az egyik évfolyamtársammal, Ádámmal (filmjeim későbbi zeneszerzőjével) azt néztük, hogy szegény Atomot senki le se szarja, mert az igazi atomot (bocs) Mr. Darcy jelenti.
Plusz most így, az Exotica után biztos felkerül a bakancslistámra, hogy szeretnék együtt dolgozni egyszer Elias Koteas-szal. (Az Őrület határán, vagyis 1998 óta a rajongója vagyok, de ez a filmje sajna kimaradt. Nekem örökre a Karambol dilinyós roncsfetisisztája marad.)",4.0,positivo
😔😔,4.0,positivo
"Everbody knows. A paradise lost.
Das hypnotische, tiefschürfende Psychodrama ""Exotica"" (1994) bedeutete den ersten kleinen Durchbruch für den kanadisch-armenischen Autorenfilmer Atom Egoyan, dem damit ein wirklich starkes und erstaunlich reifes Werk gelungen ist.
Dennoch scheint der Film bis heute recht unbekannt (bisher hier auf MP nur sieben Rezensionen) und mehr ein Geheimtipp geblieben zu sein.
Für meinen Geschmack deutlich zu Unrecht, denn Egoyans eigenwilliges wie ruhig-meditatives Drama ist ein nachhaltig plättendes, ergreifendes Werk, das seine Wirkung bei mir hinterlassen hat.
Die Kategorisierung hier auf Moviepilot als ""Erotikfilm"" ist meiner Ansicht nach deutlich fehlgeleitet und erzeugt eine irreführende Erwartungshaltung, denn trotz dem ein oder anderen Moment mit nackter Haut (""Exotica"" ist der titelgebende Stripclub) liegt der Fokus des Regisseurs auf ganz anderen Ebenen und könnte nicht weiter entfernt sein von ""klassichen"" Erotikthrillern wie ""Basic Instinct"" oder ""Body Heat"".
Überhaupt ist ""Exotica"" auf allen Ebenen erstmal schwer zu greifen.
Von Beginn an Hält Egoyan seinen Film in einem melancholisch-schwermütigen Unterton, welcher die vorerst rätselhafte, teils episodisch aufgebaute Narration permanent subtil durchdringt. Ein nie konkret benannter Schauplatz (Toronto); die unterschiedlichen Figuren und deren lange Zeit schwer greifbaren Motive und ihre unklare Vergangenheit; dazu die zahlreichen ambivalenten, nie wirklich ausformulierten Querverbindungen und Charakterverflechtungen..
""Exotica"" fesselt dabei insbesondere durch seine tranceartig-hypnotiserende Stimmung, dem Schwelgen darin, den vieldeutigen, symbolhaften, mehrfach codierten Bildern und dem durchweg kraftvollen Schauspiel aller Beteiligten. Dazu tönt Mychael Dannas stimmungsvoller, verträumter Score als passende Klangkulisse.
Anfänglich wie ein unspektakulärer, episodisch und unchronologisch erzählter Mysterythriller angelegt, eröffnet Eyogan fortlaufend puzzleartig diverse Querverbindungen und unklare Verflechtungen zwischen den Figuren, beleuchtet in kurze Fragmenten und Anspielungen verdrängte Ereignisse aus der Vergangenheit, welche das vollständige Bild langsam aber sicher klarer werden lassen.
Bis final die wichtigsten Puzzlestücke zusammengesetzt werden und damit das ganze tragische Ausmaß des Geschehens offenbart wird, die nur so vor irritierenden Ambivalenzen strotzt, wo Themen wie Verdrängung, traumatische Erlebnisse, Schuld und der Umgang mit Verlust sich als entscheidende Motive dieser durchweg ergreifenden, dennoch gleichermaßen seltsam betörenden Geschichte erweisen.
Ein kraftvolles, aufwühlendes Drama, welches nie auf Pathos und große Gesten setzt, sondern mit intensivem, nuanciertem Schauspiel sowie einer hypnotischen Inszenierung fesselt und zudem mit einer cleveren, unchronologischen Erzählstruktur dem Publikum genug Freiraum lässt, um das Gesehene selbst für sich zu deuten. Fantastisch",4.5,positivo
"фильм не про контрабанду попугаев. про призраков мёртвых негритят, если что. разочарование",2.0,negativo
trust random suggestions your library gives you.,4.5,positivo
Full body chills,5.0,positivo
"Que Dios me perdone por no haber visto Exótica de Egoyan antes. Desconocidos solitarios, muy jodidos y cachondos como monas que conectan con otros desconocidos solitarios, muy jodidos y cachondos como monas. Qué gusto. Qué paz. Si alla vita, si all’amore, si alla seduzione. Sí a todo. Ahora solo quiero bailar en un club de striptease mientras suena Leonard Cohen.",4.5,positivo
"""you have to ask yourself... what brought the person to this point. what was seen in his face, his manner, that channeled him here. you have to convince yourself... that this person has something hidden that you have to find.""
e assim começa exotica, com a primeira — e talvez a mais premonitória — de muitas pistas escondidas em poesia de um igualmente cintilante e corrosivo quebra-cabeças. conforme a trama, sublimamente montada pelo diretor atom egoyan, se desenlaça, as linhas de diálogo se tornam mais cortantes e a arca de sensações por elas e pelas imagens projetadas mais pungente, obscura e reconhecível. exotica é um boost de empatia. e ainda tem os cenografia. e a trilha sonora. daqueles filmes que comprovam que (pelo menos pra mim) a dificuldade de escrever sobre é diretamente proporcional ao impacto causado. queria eu ter pelo menos um centelha do lirismo que o egoyan alcança aqui. francis/bruce greenwood é um anjo. mia kirshner, don mckellar e sarah polley também me encantam. e sim, queria ter ainda mais amigos para poder contar sobre as coisas como essa que acabei de encontrar.",4.5,positivo
"Verga, si está poderosa",5.0,positivo
movies are magic <3,4.5,positivo
"NOT A REVIEW
========FR
""Plusieurs personnages se croisent dans un club de strip-tease, l’Exotica, dirigé d’une main de fer par Zoe, une femme enceinte... Plongez dans l'univers sombre et troublant du réalisateur Atom Egoyan.""
( Atom Egoyan est le réalisateur canadien derrière Family Viewing, et plus récemment Where the Truth lies avec K.Bacon et C.Firth.)
Une examination de plusieurs individus et ce qui les lie/liera, avec comme fond un club de strip-tease luxueux et très attentionné. On découvre ces liens petit à petit en les observant (comme ils s'observent les uns les autres).
Un film ayant fait sa pub (à tort) sur un côté sexy inexistant alors que ce qu'il a offrir est tout autre chose.
Avec Bruce Greenwood (excellent sans que l'acteur comprenne ce qu'il faisait), Elias Koteas (le fanatique d'accidents du Crash de Cronenberg) très bien dans le rôle d'un disc-jockey, et Mia Kirshner dans un de ses premiers rôles (carrière assez longue, mais aucun film emblématique). Plus Sarah Polley (Dawn of the Dead 200x, Mr.Nobody), qui m'a épaté dans un petit rôle.

Score: 8/10
Enjoyment: 4/5",4.0,positivo
Good grief,4.0,positivo
great,5.0,positivo
"Vista en retrospectiva cronológica, aquí es donde Egoyan se empieza a alejar de sus obsesiones, y amplía el espectro a otros campos como el thriller, que hoy ocupa casi todo su cine. También detecto una influencia de novelistas americanos estilo Paul Auster, con esa cosa del azar y las vidas cruzadas. Aunque al final, cuando todo se resuelve, sigue siendo una película muy Egoyan sobre la familia y sus ritos, y sobre el voyeurismo como forma de aprendizaje y redención. El baile de Mia Kershner con la canción de Cohen sigue siendo una cosa mágica, un icono del cine independiente del siglo XX. Todos los actores están excepcionales, la música, la dirección de arte, con esa idea de que aún vivimos en una jungla... Todo es brillante y exótico.",5.0,positivo
A masterpiece.,5.0,positivo
"Una película que tiene como base la mirada.
Desde un arranque el espacio principal de la pelicula es un club de striptease en el cual solo se puede mirar, no tocar.
A través de la mirada buscaran tapar un dolor, a través de la mirada amarán.
Francis mira a christine que es el recuerdo más preciso de su hija, pero no la mirará desde el deseo,sino desde el amor, christine ahora es “su hija” no quiere que la dañen, el matará a quien la lastime. A su vez, Christine hará lo mismo con el. Sus padres la ignoraron y la desmerecieron, Francis no. Francis le dijo que era una persona importante. Francis la miró, sus padres no, y ahora el es su “padre”.
Por otro lado, Eric observará a christine la mujer de la cual está enamorado, pero no le corresponde. El no la tocará, pero buscara que quienes la miren la toquen, para de esa manera deshacerse de ellos, porque el es el único que la puede mirar. También thomas mirará a cada chico que invite al teatro, pero no tendrá contacto físico, solo los observará.
Pero la mirada es lo que ama y la mirada es lo que importa. Cada vez que alguien toco a otro ocurrió algo malo. Francis tocó a christine y lo echaron del club. Thomas finalmente estuvo con uno de los chicos y este le robo.
Las personas que miran ocupan el lugar de alguien más, de alguien o algo que ya no estáal menos de la forma en que era antes, alguien o algo que desean, pero no pueden o no se animan a tener. Esto también ocurre con la sobrina de francis, que ahora ocupa el lugar de christine como niñera.Porque la mira a ella y ve a christine y la mira a christine y ve a su hija. Ve un pasado que ya no está, pero que no quiere soltar.",5.0,positivo
""" يجب ان تسأل نفسك ما الذي دفع المرء لهذه المرحله ما الذي شوهد في وجهه وتصرفاته واتى به الى هنا، عليك ان تقنع نفسك ان هذا الشخص يخفي شيئا عليك اكتشافه""
كلام قِيل في بداية الفلم في المطار، كان موجه للشخصية'' توماس '' بس كان شخصية عاديه وسطحية ، الكلام الي انقال عن توماس ينطبق على شخصية '' فرينسيس '' وش سبب تعلقة بفتاة الملهى ؟ وش موصّله لهذي الدرجه من الهوس فيها؟
فلم عظيم",4.5,positivo
"Mirala de noche, solx, con un vinito y con la mínima información que puedas tener. 
Un viaje absolutamente mágico.",4.5,positivo
silky smooth,0.0,
"mais uma vez Atom Egoyan e todo o seu elenco já conhecido me faz arrepiar. puta que pariu, que filme do karalho!!!",5.0,positivo
🦜,4.0,positivo
"A ono kaooo očekivao sam nešto egzotičnije kao kokteli možda kontaš??? al i ovo je dobro, mjuza kida",4.5,positivo
gay egg smuggler son or stripper daughter?,5.0,positivo
"Uau... Só, uau.
10.0",5.0,positivo
